Text,Emotion,Translation,Emotion_Traduzida
i feel a little brave and venture out of my comfort zone and into the kitchen,happy,Sinto -me um pouco corajoso e aventure -me da minha zona de conforto e na cozinha,felicidade
i can feel the tortured emo poetry coming on already,anger,Eu posso sentir a poesia emo torturada já vindo,raiva
i cant help but feel so helpless,sadness,Eu não posso deixar de me sentir tão impotente,tristeza
i started feeling dazed,surprise,Comecei a me sentir atordoado,surpresa
i cant really describe the feeling that i have except to say that i am incredibly burdened,sadness,"Eu realmente não posso descrever a sensação que tenho, exceto para dizer que estou incrivelmente sobrecarregado",tristeza
i feel like i cant have dirty dishes piled up laundry strewn about or toys scattered everywhere,sadness,Eu sinto que não posso ter louça suja empilhada na roupa espalhada ou brinquedos espalhados por toda parte,tristeza
i feel more free to enjoy the possessions i do have like this rock or that book or these clothes,happy,Sinto -me mais livre para apreciar os bens que tenho como esta rocha ou aquele livro ou essas roupas,felicidade
A look of intense amusement crossed Catherine 's f,happy,Um olhar de intensa diversão cruzou a Catherine,felicidade
i know how it feels to suffer pain and sorrow and loneliness and to know that mom is suffering because of her illness,sadness,"Eu sei como é sofrer dor, tristeza e solidão e saber que a mãe está sofrendo por causa de sua doença",tristeza
i feel when they are distressed in the night is perhaps more than empathy,fear,Eu sinto que quando eles estão angustiados à noite é talvez mais do que empatia,medo
i feel blessed and lucky to have gone so many places and seen so many things,happy,Sinto -me abençoado e sortudo por ter ido tantos lugares e vi tantas coisas,felicidade
i feel stronger clearer but a little annoyed not quite sure why,anger,"Sinto -me mais forte, mas um pouco irritado, não muito ao certo por que",raiva
i just decided to put a closure on the irritant and avoid them altogether or make their presence feel equally unwelcome,sadness,Eu apenas decidi encerrar o irritante e evitá -los completamente ou fazer sua presença parecer igualmente indesejável,tristeza
i seriously feel so blessed for the support that i have at home it s amazing,love,Eu me sinto seriamente tão abençoado pelo apoio que tenho em casa é incrível,amor
i see people who have accomplished so much more than me and i feel envious and incompetent,anger,Eu vejo pessoas que realizaram muito mais do que eu e me sinto inveja e incompetente,raiva
i changed i feel that im taking advantage of her this wouldnt have bothered me one bit before,anger,"Eu mudei, sinto que estou tirando vantagem dela, isso não teria me incomodado nem um pouco antes",raiva
i feel fine which is good enough on a sunday evening,happy,"Eu me sinto bem, o que é bom o suficiente em uma noite de domingo",felicidade
im feeling the christmas spirit so it seems like the perfect time to mention an idea ive had swimming around in my head,happy,"Estou sentindo o espírito natalino, então parece o momento perfeito para mencionar uma idéia que eu estava nadando na minha cabeça",felicidade
i wish that i didnt feel the way i do i wear my heart on my sleeve you have to believe the things i say arent in vain believe me theyre true,sadness,"Eu gostaria de não ter me sentido como eu uso meu coração na manga, você tem que acreditar nas coisas que eu digo não é em vão acreditar em mim, elas são verdadeiras",tristeza
i feel so damaged i just want you to have care of me continuer,sadness,Sinto -me tão danificado que só quero que você se importe com mim.,tristeza
When he wondered this he felt a deep sadnes,sadness,"Quando ele se perguntou isso, ele sentiu uma profunda entradas",tristeza
i feel it all one of the many standouts from feist s dare i say masterpiece album the reminder broke down the usual barrier between audience and performer,sadness,Eu sinto que tudo isso é um dos muitos destaques do álbum de Feist S DYROBY OBLEME,tristeza
i recently attended a presentation by kingdom bank zimbabwe they are doing a series of road shows in and around zimbabwe i feel they are basically trying to get zimbabweans back into trusting the bank to some degree at least,happy,"Recentemente, participei de uma apresentação do Kingdom Bank, Zimbabwe",felicidade
i feel like she has not thus far been incredibly supportive of him in his time of need,love,Eu sinto que ela não foi incrivelmente apoiada a ele em seu tempo de necessidade,amor
i nodded proud of my decision to procure a pump feeling slightly smug,happy,Eu balancei a cabeça orgulhosa da minha decisão de adquirir uma bomba se sentindo um pouco presunçosa,felicidade
i feel infuriated every time that the christmas season draws near,anger,Sinto -me furioso toda vez que a temporada de Natal se aproxima,raiva
i would certainly feel what im suppose to be feeling which is brave,happy,Eu certamente sentiria o que suponho estar sentindo que é corajoso,felicidade
i feel like the last three months are going to go by super quick because we are going to be moving in a few weeks and then just getting situated and then bam,happy,"Eu sinto que os últimos três meses serão super rápidos, porque vamos nos mover em algumas semanas e depois ficar situados e depois BAM",felicidade
i feel so comfortable with you i feel so safe around you,happy,Eu me sinto tão confortável com você que me sinto tão seguro ao seu redor,felicidade
i am excited to be introduced to a new kind of library environment but at the same time i am feeling stressed about it because it means that i am not really getting a holiday,sadness,"Estou animado por ser apresentado a um novo tipo de ambiente de biblioteca, mas ao mesmo tempo estou me sentindo estressado com isso porque significa que não estou realmente recebendo férias",tristeza
im feeling a bit mellow this morning,happy,Estou me sentindo um pouco suave esta manhã,felicidade
i feel annoyed that those who bought tickets and sat through the screening could even find distraction with such offensive scenes and sounds flashed before them,anger,"Sinto -me irritado por aqueles que compraram ingressos e sentaram -se na exibição, até encontrar distração com cenas e sons ofensivos, brilhando diante deles",raiva
i am feeling very unsure of my future,fear,Estou me sentindo muito inseguro do meu futuro,medo
i feel like these unfortunate events fit in with my thought quote i posted above,sadness,Eu sinto que esses eventos infelizes se encaixam na minha citação de pensamento que publiquei acima,tristeza
i feel like i m too mellow in my regular life so i have no use for drugs that make me feel even more mellow,happy,"Eu sinto que sou muito suave na minha vida regular, então não tenho utilidade para drogas que me fazem sentir ainda mais suave",felicidade
i feel unpleasant time is long,sadness,Eu sinto que o tempo desagradável é longo,tristeza
i am not feeling too bad except that my ribs are aching and i have a pulled muscle in my shoulder blade region from all my excruciating hours of hacking my lungs out last night,sadness,"Não estou me sentindo muito mal, exceto que minhas costelas estão doendo e tenho um músculo puxado na região da ombro de todas as minhas horas excruciantes de invadir meus pulmões na noite passada",tristeza
i began training in january or at least mentally preparing myself to train and can remember specifically feeling apprehensive about the running a spring marathon,fear,Comecei a treinar em janeiro ou pelo menos mentalmente me preparando para treinar e me lembro especificamente me sentindo apreensivo com a corrida de uma maratona de primavera,medo
i feel as one with the trail without being totally punished by it,sadness,Eu me sinto como um com a trilha sem ser totalmente punido por ela,tristeza
i worry about all of the time ive been spending on the computer and about how i feel so distracted by the party,anger,Eu me preocupo com o tempo todo que tenho gasto no computador e sobre como me sinto tão distraído pela festa,raiva
i had a trainer i dont think i ever weighed as little as i do now so im feeling pretty excited,happy,"Eu tinha um treinador, acho que nunca pesava tão pouco quanto agora estou me sentindo muito animado",felicidade
i feel spiritually invigorated if physically tired,happy,Sinto -me espiritualmente revigorado se fisicamente cansado,felicidade
i love this because to me it should leave the reader feeling confused and slightly deceived,fear,Eu amo isso porque para mim deve deixar o leitor se sentindo confuso e ligeiramente enganado,medo
i pay godaddy for the privellege of having a domain i feel im also supporting their efforts to get this bill that i vehemently oppose shoved through,love,Eu pago a GoDaddy pelo privilégio de ter um domínio que sinto que também estou apoiando seus esforços para obter essa conta que me oponho veementemente,amor
i feel hopeless helpless and paralysed,sadness,Sinto -me sem esperança e paralisado,tristeza
i feel so weird and scattered with all wonders about a million different things,fear,Eu me sinto tão estranho e espalhado com todas as maravilhas sobre um milhão de coisas diferentes,medo
i get what she s saying and i feel somewhat remorseful for not being the kind of friend or giving the kind of support she wanted or needed throughout the past years of our friendship oh yes it goes back that far,sadness,"Entendo o que ela está dizendo e sinto -me um tanto arrependido por não ser o tipo de amigo ou dar o tipo de apoio que ela queria ou precisava ao longo dos últimos anos de nossa amizade, oh sim, isso volta tão longe",tristeza
i confess that i was feeling nervous as i made my way to the event venue,fear,Confesso que estava me sentindo nervoso quando fui para o local do evento,medo
i will feel a bit of insecure,fear,Vou me sentir um pouco de insegurança,medo
i drank a cup of coffee i feel all nervous and weird now,fear,"Eu bebi uma xícara de café, sinto -me nervoso e estranho agora",medo
i feel a hesitant touch at my back and i lean back into the familiarly small hands,fear,Sinto um toque hesitante nas minhas costas e me inclinei para as mãos familiares e familiares,medo
i feel like a rockette and i also feel like im glad its over,happy,Eu me sinto como uma foguete e também sinto que estou feliz por ter acabado,felicidade
i woke up feeling pretty energetic but after i did yoga and had a shower i was really hungry,happy,"Acordei me sentindo muito enérgico, mas depois que fiz ioga e tomei um banho, eu estava com muita fome",felicidade
i wear it i feel anxious visable spotlighted different unfashionable stupid embarrassed ashamed and paranoid,fear,"Eu uso isso, sinto -me ansioso visível destacado diferente, idiota idiota, envergonhado e paranóico",medo
i almost fall asleep but i feel so awkward sleeping beside her,sadness,"Eu quase adormeço, mas me sinto tão estranho dormindo ao lado dela",tristeza
i often throw myself into work when i m not with them that same maxim from last week if i feel discouraged the way i move forwards is to offer encouragement to others,sadness,"Costumo me jogar no trabalho quando não estou com eles a mesma máxima da semana passada, se me sentir desanimado da maneira que avanço é oferecer incentivo aos outros",tristeza
i feel all gloomy and i hate it,sadness,Eu me sinto muito sombrio e eu odeio,tristeza
im feeling pressured at my desk due to the piles of tasks waiting for me i will often pack up and go write in a quiet corner in my bedroom living room or kitchen,fear,"Estou me sentindo pressionado na minha mesa devido às pilhas de tarefas esperando por mim, eu costumo fazer as malas e escrever em um canto tranquilo na sala de estar ou na cozinha do meu quarto",medo
i feel helpless to regain a safe feeling,sadness,Sinto -me impotente para recuperar um sentimento seguro,tristeza
i was feeling so spiteful i brought it up and i saw the hurt in his face,anger,Eu estava me sentindo tão maldoso que o trouxe e vi a dor na cara dele,raiva
i feel like i am very passionate about youtube and so id quite like to explain why i think youtube is the next best thing for entertainment,love,"Sinto que sou muito apaixonado pelo YouTube e, portanto, gostaria de explicar por que acho que o YouTube é a próxima melhor coisa para entretenimento",amor
i then feel like a hopeless case beside them,sadness,Eu então me sinto como um caso sem esperança ao lado deles,tristeza
i feel proud to have carried out this struggle as today i feel myself to be a real human being,happy,"Sinto -me orgulhoso de ter realizado essa luta, pois hoje me sinto por ser um ser humano real",felicidade
i feel alarmed,fear,Eu me sinto alarmado,medo
i want them to feel eager to attend a amp m i want them to feel like they belong,happy,"Eu quero que eles se sintam ansiosos para participar de um amplificador, quero que eles sintam que pertencem",felicidade
ive been feeling very indecisive lately,fear,Eu tenho me sentido muito indeciso ultimamente,medo
ive been without a home without somewhere that i feel truly welcomed and safe,happy,Eu estive sem um lar sem algum lugar que me sinto verdadeiramente bem -vindo e seguro,felicidade
i crave getting out there and moving and if i dont i feel agitated until i do,fear,eu desejo ir lá e me mexer e se não me sinto agitado até fazer,medo
i think there are quality submissions out there but authors are conforming more to writing in genres they feel will get accepted by a publisher,happy,"Eu acho que existem envios de qualidade por aí, mas os autores estão em conformidade com a escrita em gêneros que eles acham que serão aceitos por um editor",felicidade
i like moving with a long lead time and not feeling rushed,anger,Eu gosto de me mudar com um longo prazo e não me sentindo apressado,raiva
i felt myself melting away again but this time it was a happy feeling not a scared one,fear,"Eu me senti derretendo de novo, mas desta vez foi um sentimento feliz, não assustado",medo
im unhappy i feel irritated by everything and i yell,anger,"Estou infeliz, sinto -me irritado com tudo e grito",raiva
i really do feel superior,happy,Eu realmente me sinto superior,felicidade
i cant get traction and start feeling tortured by time as my friend denise puts it,fear,Não consigo tração e começar a me sentir torturado pelo tempo como minha amiga Denise coloca,medo
i know they don t really mean anything by it but when you are feeling as crappy as i am you find yourself really wanting to give them a wakeup call,sadness,"Eu sei que eles não significam nada por isso, mas quando você está se sentindo tão ruim quanto eu, você se vê realmente querendo dar uma chamada para ele",tristeza
i feel so fucking rebellious all the rules and its so regimented like if class starts at theyre taking roll at,anger,Sinto -me tão rebelde de todas as regras e está tão regimentado como se a aula começar a fazer rolar,raiva
i was a kid in bellingham worried about acne getting my first kiss and maybe copping a feel somewhere on a sweet girl i wished would notice me,love,Eu era uma criança em Bellingham preocupada com a acne tendo meu primeiro beijo e talvez enfrentar uma sensação em algum lugar de uma garota doce que eu gostaria que me noteria,amor
i have this nasty feeling that i am being an ungrateful wretch,sadness,Tenho a sensação desagradável de que estou sendo um miserável ingrato,tristeza
i have these great feelings of fear and trepidation that these children will be abused because i know what the statistics are,sadness,Tenho esses grandes sentimentos de medo e apreensão de que essas crianças serão abusadas porque sei quais são as estatísticas,tristeza
i feel fucked tape re recorded,anger,Eu me sinto fodida fita registrada,raiva
i am feeling pretty restless right now while typing this,fear,Estou me sentindo muito inquieto agora enquanto digitou isso,medo
i feel bouncy and weird and strange and i love it,happy,"Eu me sinto saltitante, estranho e estranho e adoro isso",felicidade
i feel paranoid,fear,Eu me sinto paranóico,medo
i feel i m handling it well and i m enjoying it he said,happy,"Eu sinto que estou lidando bem com isso e estou gostando, ele disse",felicidade
im heartbroken about in love with the world but i think maybe im feeling heartbroken so acutely is it came to me today that every time ive been asked to stay somewhere in the past years or so ive left,sadness,"Estou com o coração partido apaixonado pelo mundo, mas acho que talvez estou me sentindo com o coração partido com tanta agudamente que veio a mim hoje que toda vez que me pedia para ficar em algum lugar nos últimos anos ou mais",tristeza
i also feel like i have been keeping myself intentionally stupid behind slow in the past ive known that keeping up with gaga would require getting up to light speed which transforms you into an artist and im ready to do that now an hold nothing back,sadness,"Eu também sinto que tenho me mantendo intencionalmente estúpido por trás de lentidão no passado, sou conhecido que acompanhar Gaga exigiria subir na velocidade da luz, o que o transforma em um artista e estou pronto para fazer isso agora um não aguentar nada de volta",tristeza
i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,sadness,"Eu estava me sentindo tão desanimado que já estamos roubando Peter para pagar Paul para conseguir nossa vaca este ano, mas não podemos nos dar ao luxo de não conseguir a vaca dessa maneira",tristeza
"A patient in an anxious state is more likely to bump into , or trip over , objects ; shaking or tense hands are more likely to drop things , spill things and so ",fear,"É mais provável que um paciente em um estado ansioso esbarre ou tropeça em objetos; As mãos tremendo ou tensas têm maior probabilidade de largar as coisas, derramar coisas e assim",medo
i now feel so determined to smash round and really give her something to be proud of,happy,Agora me sinto tão determinado a esmagar e realmente dar a ela algo para se orgulhar,felicidade
i may rant but i don t feel burdened in the least bit,sadness,"Posso reclamar, mas não me sinto sobrecarregado no mínimo",tristeza
im feeling a little bit melancholy tonight,sadness,Estou me sentindo um pouco melancólico esta noite,tristeza
im glad i feel this way because if i didnt then id know that i had finally hit that point of not caring about anyone or anything,love,"Estou feliz por me sentir assim, porque se não soubesse que finalmente havia atingido esse ponto de não me importar com ninguém ou qualquer coisa",amor
i feel like i can play with the work more than if it was trying to be some precious expensive masterpiece,happy,Eu sinto que posso brincar com o trabalho mais do que se estivesse tentando ser uma obra -prima cara preciosa,felicidade
i feel invigorated as i am one,happy,Eu me sinto revigorado como sou um,felicidade
i feel disgusted with my jealousy and should stop taking example so offensive,anger,Sinto -me enojado com meu ciúme e devo parar de dar um exemplo tão ofensivo,raiva
i hated that i have to work everyday with no days off for the next two weeks i dont like my jobs and i feel unsuccessful when i talk to other people about them,sadness,"Eu odiava que tenho que trabalhar todos os dias sem dias de folga pelas próximas duas semanas, não gosto do meu trabalho e me sinto sem êxito quando converso com outras pessoas sobre eles",tristeza
i feel dumb putting so much thought to such a stupid little thing but its getting to me,sadness,"Eu me sinto idiota colocando muito pensamento para uma coisinha tão estúpida, mas está chegando a mim",tristeza
i find myself buying into and reacting to the conflicts of modern life more than i did before and feeling more jaded,sadness,Eu me pego comprando e reagindo aos conflitos da vida moderna mais do que antes e me sentindo mais cansado,tristeza
i wouldn t throw it in the ocean but i don t feel i would have missed something in my career if i don t win an oscar,sadness,"Eu não o jogaria no oceano, mas não sinto que teria perdido algo na minha carreira se não ganhar um Oscar",tristeza
i feel really joyful img src http s,happy,Eu me sinto muito alegre img src http s,felicidade
i can look back at it and feel satisfied that i saved all those cultures from a terrible fate and that my time spent in the job was not in vain because the results of my efforts will benefit students for decades to come,happy,"Eu posso olhar para trás e me sentir satisfeito por salvar todas essas culturas de um destino terrível e que meu tempo gasto no trabalho não foi em vão, porque os resultados de meus esforços beneficiarão os alunos nas próximas décadas",felicidade
im wound a little too tightly for it i remember the paranoid feelings more vividly than the mellow ones,happy,Estou ferido com um pouco muito de,felicidade
i do feel has conditions it hurts deeply and it is not pleasant,happy,Eu sinto que tem condições que dói profundamente e não é agradável,felicidade
i feel a bit insulted by that as i am nothing like other women i bloody hate them and their incessant bitching in general over bloody nothing most of the time,anger,"Sinto -me um pouco insultado com isso, pois não sou nada como outras mulheres, eu as odeio e suas incessantes reclamações em geral sobre nada sangrento na maioria das vezes",raiva
i always tell people my brd armor sucks since i totally feel it does so i was amazed to see some of the crap some brds wear,surprise,"Eu sempre digo às pessoas que minha armadura BRD é péssima, já que sinto que estou, então fiquei surpreso ao ver algumas das porcarias que alguns BRDs usam",surpresa
i feel idiotic and wierd in this class,sadness,Eu me sinto idiota e estranho nesta classe,tristeza
i feel like i have been sitting in this stupid chair for hours,sadness,Eu sinto que estou sentado nesta cadeira estúpida há horas,tristeza
i took a minute to appreciate the trees around me and the calming energy that they gave me at a time when i was feeling a little bit irritable,anger,Levei um minuto para apreciar as árvores ao meu redor e a energia calmante que eles me deram em um momento em que eu estava me sentindo um pouco irritado,raiva
i honestly thought impossible at this point i feel pretty,happy,"Sinceramente, pensei impossível neste momento, me sinto bonita",felicidade
i avoid saying fail because it makes me feel rotten and i know it is not good for my confidence,sadness,Evito dizer falhar porque me faz sentir podre e sei que não é bom para minha confiança,tristeza
i liked boys and didnt feel inhibited by them,sadness,Eu gostava de meninos e não me senti inibido por eles,tristeza
i pleading to people and feeling distraught that they dont hear,fear,Eu implorando às pessoas e me sentindo perturbado que elas não ouvem,medo
i feel pretty lucky to be able to experience it again in this way,happy,Sinto -me com muita sorte de poder experimentá -lo novamente dessa maneira,felicidade
Furious Tory MPs now want to go to the High Court to force a new bal,anger,Os parlamentares conservadores furiosos agora querem ir ao Supremo Tribunal para forçar um novo BAL,raiva
i feel like it but i cant i cant give in i am just to stubborn and i must win,anger,"Eu sinto vontade, mas eu não posso ceder, sou apenas teimoso e devo ganhar",raiva
i feel a bit rotten putting a post about teaching into the stones tag list for this blog its not really a grumble or groan subject for me to be honest,sadness,"Eu me sinto um pouco podre colocando um post sobre o ensino na lista de tags de pedras para este blog, não é realmente um assunto de grumble ou gemido para eu ser honesto",tristeza
i feel so privileged to be part of this and in my own way keep some of the traditional skills alive of course with a little ballistic owl magic,happy,"Sinto -me tão privilegiado por fazer parte disso e, à minha maneira, mantenha algumas das habilidades tradicionais vivas, é claro, com um pouco",felicidade
i no longer have summer vacation like when i was in school summer still has a feeling of relaxation and being carefree,happy,"Eu não tenho mais férias de verão como quando estava na escola, o verão ainda tem uma sensação de relaxamento e ser despreocupado",felicidade
i feel very distressed because i m supportive of this campaign and with the senator jackson told cnn,fear,Sinto -me muito angustiado porque apoio esta campanha e com o senador Jackson disse à CNN,medo
i feel just insulted,anger,Eu me sinto apenas insultado,raiva
im feeling apprehensive about it,fear,Estou me sentindo apreensivo com isso,medo
i actually feel frightened of people here right now,fear,"Na verdade, me sinto assustado com as pessoas aqui agora",medo
i was just yesterday feeling uncomfortable with highschool sigh,fear,Eu estava ontem me sentindo desconfortável com o suspiro do ensino médio,medo
i still feel so alone i just cant give you anything for you to call your own and i can feel you breathing and its keeping me awake can you feel it beating,sadness,"Eu ainda me sinto tão sozinho que eu simplesmente não posso te dar nada para você ligar para o seu e posso sentir você respirando e está me mantendo acordado, você pode sentir isso batendo",tristeza
"Constant recounting of this tale embroidered it further , describing the woman 's horror as the head , missing the basket , gripped her apron and held on with its tee",fear,"A recontagem constante deste conto bordou ainda mais, descrevendo o horror da mulher como a cabeça, sentindo falta da cesta, agarrou o avental e segurou -se com sua camiseta",medo
i feel that this was their mistake and they are just being rude,anger,Eu sinto que esse foi o erro deles e eles estão apenas sendo rudes,raiva
i see so many people who miss work at the drop of a hat because it s just a job and not very important to their overall being and that s fine but i have to do something that i feel is worthwhile to help me stay on what i deem as a good path,happy,"Eu vejo tantas pessoas que sentem falta do trabalho na queda de um chapéu, porque é apenas um trabalho e não é muito importante para o ser geral deles, e isso está bem, mas tenho que fazer algo que sinto que vale a pena me ajudar a permanecer no que considero um bom caminho",felicidade
i cant even remember what it feels like to be loved,love,Eu nem me lembro como é ser amado,amor
when it became clear that a man had used many people sexually and psychologically,anger,quando ficou claro que um homem havia usado muitas pessoas sexual e psicologicamente,raiva
i declined this invitation but secretly i could not help but feel curious,surprise,"Eu recusei este convite, mas secretamente não pude deixar de me sentir curioso",surpresa
i feel restless in my own pursuits,fear,Eu me sinto inquieto em minhas próprias atividades,medo
i don t feel rejected or abandoned which speaks volumes to the expansion of my self worth,sadness,"Não me sinto rejeitado ou abandonado, o que fala muito à expansão do meu valor",tristeza
i cant be bothered as coming and doing is a pleasant pass time followed by cascades of positive feelings unless you are sexualy troubled,sadness,"Eu não posso ser incomodado como vir e fazer é um tempo agradável de aprovação, seguido de cascatas de sentimentos positivos, a menos que você esteja sexual perturbado",tristeza
i feel about gift cards they re after thoughts and rude,anger,Eu me sinto sobre cartões -presente que eles são depois de pensamentos e rudes,raiva
i feel as though my time is not valued,happy,Sinto que meu tempo não é valorizado,felicidade
i get scared i feel ignored i feel happy i get silly i choke on my own words i make wishes i have dreams and i still want to believe anything could happen in this world for an ordinary girl like you like me for an ordinary girl like you like me how are you,sadness,"Fico com medo de me sentir ignorado. Sinto -me feliz por ficar bobo, sufoco com minhas próprias palavras, faço desejos de ter sonhos e ainda quero acreditar",tristeza
i feel like i ought to be working on casual activism but that construes something that is potentially stressful so there wont be any update tomorrow,happy,"Sinto que deveria estar trabalhando no ativismo casual, mas isso interpreta algo que é potencialmente estressante, então não haverá atualização amanhã",felicidade
i don t feel victimized,sadness,Eu não me sinto vitimado,tristeza
im going to feel fabulous and amazing and healthy,happy,"Eu vou me sentir fabuloso, incrível e saudável",felicidade
i love the foamy feel it is so gentle on the skin doesnt sting or irritate whatsoever,love,Eu amo a espuma de sentir que é tão gentil com a pele não picar nem irritar nada,amor
im feeling optimistic to finish out these last two weeks strong and probably continue with what i have been doing,happy,Estou me sentindo otimista para terminar essas últimas duas semanas fortes e provavelmente continue com o que tenho feito,felicidade
i feel ashamed that i so readily turn it aside,sadness,Eu me sinto envergonhado por ter tanta prontamente isso de lado,tristeza
i know i said that i would get this to you guys next week however i am feeling pretty generous so ill give you guys the scoop right now,happy,"Eu sei que disse que levaria isso a vocês na próxima semana, mas estou me sentindo muito generoso, então vou te dar a colher agora",felicidade
i did not feel dangerous enough to get in,anger,Eu não me senti perigoso o suficiente para entrar,raiva
i learned i feel lonely at parties i like to plan them however if you dont stuff your feelings with food or liquor or shopping you can,sadness,"Eu aprendi que me sinto sozinho em festas que gosto de planejá -las, no entanto, se você não encher seus sentimentos com comida, licor ou compras, você pode",tristeza
i dont know why for some reason i feel really pissed off by this person ive supported for years,anger,"Não sei por que, por algum motivo, me sinto muito chateado por essa pessoa, eu apoiado por anos",raiva
im feeling productive and brave,happy,Estou me sentindo produtivo e corajoso,felicidade
i feel when juggling all of the fine details that go into a professional writing career,happy,Sinto ao fazer malabarismos com todos os detalhes que entram em uma carreira profissional de escritor,felicidade
i feel so pissed off that i can bite off a fucking tree log,anger,Eu me sinto tão chateado que posso morder um tronco de árvore,raiva
i remember moments of feeling lost or hopeless when i was younger,sadness,Lembro -me de momentos de me sentir perdido ou sem esperança quando era mais jovem,tristeza
i just feel are ludicrous and wasting space or so trite they should have looked at the book first and come up with something a little more original,surprise,"Eu apenas sinto que são ridículos e desperdiçando espaço ou tão banais, eles deveriam ter olhado primeiro para o livro e inventar algo um pouco mais original",surpresa
im not sure how much each diploma will cost or if its even recognized in this country but its something to make me feel productive and add to my resume when the babys old enough to allow me to go back to work,happy,"Não tenho certeza do quanto cada diploma custará ou se é reconhecido neste país, mas é algo para me fazer sentir produtiva e adicionar ao meu currículo quando os bebês têm idade suficiente para me permitir voltar ao trabalho",felicidade
i feel fucking pathetic and desperate for your hello,sadness,Sinto -me patético e desesperado pelo seu olá,tristeza
i feel disgusted that any criminal justice system in the st century could know the full details of it all and deny it to be named as abusive,anger,Sinto -me enojado de que qualquer sistema de justiça criminal no século ST poderia saber todos os detalhes de tudo e negar que ele seja nomeado como abusivo,raiva
i was feeling creative i see you alternate version of me,happy,"Eu estava me sentindo criativo, vejo você uma versão alternativa de mim",felicidade
im home and feeling a bit low,sadness,Estou em casa e me sentindo um pouco baixo,tristeza
i left feeling defeated like nothing had been accomplished the day a complete waste of time amp energy,sadness,Saí da derrota como se nada tivesse sido realizado no dia em que uma completa perda de tempo amplificou energia,tristeza
i am saying that i am feeling helpless now that i have to walk on toes,fear,Estou dizendo que estou me sentindo impotente agora que tenho que andar nos dedos dos pés,medo
i just have a weird feeling that there was nothing innocent about what they were script type text javascript src http partner,happy,Eu só tenho uma sensação estranha de que não havia nada inocente sobre o que eles eram do tipo script text javascript src http parceiro,felicidade
"At first Tony looked less happy than before , and said he had become somewhat despondent about his lack of progress in finding employmen",sadness,"A princípio, Tony parecia menos feliz do que antes e disse que havia se desanimado com sua falta de progresso em encontrar empregados",tristeza
i feel like hed think that was pretty cool because i certainly do,happy,Eu sinto que Hed acho que foi bem legal porque eu certamente faço,felicidade
"It all started early this morning , when a rather anxious mum called in at the offi",fear,"Tudo começou cedo nesta manhã, quando uma mãe bastante ansiosa ligou para o offi",medo
i feel utterly devastated that she must go through this and do so alone,sadness,Sinto -me totalmente devastado que ela deve passar por isso e fazê -lo sozinha,tristeza
i feel so guilty for putting my child in daycare,sadness,Eu me sinto tão culpado por colocar meu filho na creche,tristeza
i need to step up my game but im just feeling like i cant be bothered,anger,"Eu preciso intensificar meu jogo, mas estou apenas sentindo que não posso ser incomodado",raiva
i bought this doraemon backpack from a charity store i had every intention of putting it in my etsy store but i feel like its too cute to sell,happy,"Comprei esta mochila Doraemon de uma loja de caridade que eu tinha toda a intenção de colocá -la na minha loja Etsy, mas sinto que é fofo demais para vender",felicidade
i wave remember how many people love you and feel our arms supporting you under the deep and painful sea,happy,Lembro -me de quantas pessoas te amam e sentem nossos braços apoiando você sob o mar profundo e doloroso,felicidade
i won t argue with those who are disabled about how the mda telethon makes them feel i wouldn t take away from them the want to be respected,happy,Eu não discutirei com aqueles que estão desativados sobre como o MDA Telethon os faz sentir que não vou tirar deles o desejo de ser respeitado,felicidade
i just feel its one of those things you dont talk about too much because then too many people come to know and then the plan doesnt taste as sweet nor does it feel like a plan,love,"Eu apenas sinto que é uma daquelas coisas que você não fala muito, porque muitas pessoas vêm saber e então o plano não tem gosto tão doce nem parece um plano",amor
i knew then what it was like to feel heartbroken,sadness,Eu sabia então como era me sentir com o coração partido,tristeza
i simply feel it is important to be presented well in front of others and when one is asked about himself there should be evident support in why he thinks so of himself as for any type of discussions during which perspectives on a topic are being exchanged,happy,"Simplesmente sinto que é importante ser bem apresentado na frente dos outros e, quando se perguntam sobre si mesmo, deve haver um apoio evidente no motivo de ele pensar assim como em qualquer tipo de discussão durante o qual as perspectivas sobre um tópico estão sendo trocadas",felicidade
i feel like people like this arent getting caught therefore the government plays it up when they catch criminals of petty crimes to make themselves look better,anger,"Eu sinto que pessoas como isso não estão sendo pegos, portanto, o governo reproduz quando pegam criminosos de crimes mesquinhos para se parecer melhor",raiva
i dont have a god to turn to doesnt mean i dont feel offended by that,anger,Eu não tenho um Deus para que me voltar para não significa que eu não me sinto ofendido por isso,raiva
"He paced about for some time , looking agitat",fear,"Ele andou por algum tempo, parecendo agitat",medo
im feeling depressed anxious and despondent thats all i seem to want to do,sadness,"Estou me sentindo deprimido ansioso e desanimado, isso é tudo o que pareço querer fazer",tristeza
i turn up feeling more than a little apprehensive,fear,Eu pareço me sentindo mais do que um pouco apreensivo,medo
i feel like an indecisive idiot,fear,Eu me sinto como um idiota indeciso,medo
when i was doing research a few months ago,anger,Quando eu estava pesquisando há alguns meses,raiva
i feel like an emotional cutter,sadness,Eu me sinto como um cortador emocional,tristeza
